response_id,gender,age,num_children,occupation,num_years_politics,spouse_occupation,caste,win
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Male,45,1,Politician,3 years,Doctor,SC/ST/OBC,1
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Female,45,1,Homemaker,0,Farmer,Forward caste,1
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Female,29,3,Teacher,3 years,Politician,SC/ST/OBC,1
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Male,65,3,Homemaker,1 year,Farmer,Forward caste,0
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Female,65,0,Lawyer,1 year,Unmarried,SC/ST/OBC,0
5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6,Male,29,0,Politician,8 years,Unmarried,Forward caste,0
5f3bd8f8-5315-46d0-e981-86ec717165ec,Female,29,0,Lawyer,3 years,Farmer,SC/ST/OBC,1
5f3bd8f8-5315-46d0-e981-86ec717165ec,Female,45,1,Politician,8 years,Doctor,SC/ST/OBC,1
5f3bd8f8-5315-46d0-e981-86ec717165ec,Male,45,3,Politician,0,Farmer,Forward caste,1
5f3bd8f8-5315-46d0-e981-86ec717165ec,Male,65,0,Homemaker,8 years,Unmarried,SC/ST/OBC,0
5f3bd8f8-5315-46d0-e981-86ec717165ec,Male,65,3,Lawyer,3 years,Unmarried,Forward caste,0
5f3bd8f8-5315-46d0-e981-86ec717165ec,Female,29,1,Teacher,1 year,Politician,Forward caste,0
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Female,29,3,Lawyer,3 years,Unmarried,Forward caste,1
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Female,65,0,Homemaker,1 year,Farmer,SC/ST/OBC,1
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Female,45,3,Politician,0,Doctor,SC/ST/OBC,1
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Male,65,1,Homemaker,3 years,Politician,SC/ST/OBC,0
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Male,45,1,Lawyer,0,Doctor,Forward caste,0
5f3bd905-a5a2-ea16-bf99-0bf1671330b7,Male,29,0,Teacher,8 years,Farmer,Forward caste,0
