"","response_id","respondent_gender","gender_string","win","gender_male","gender_female","age_29","age_45","age_65","num_child_0","num_child_1","num_child_3","occ_teacher","occ_lawyer","occ_politician","occ_homemaker","years_in_pol_0","years_in_pol_1","years_in_pol_3","years_in_pol_8","spouse_occ_politician","spouse_occ_doctor","spouse_occ_farmer","spouse_occ_unmarried","caste_forward","caste_backward"
"1","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Male",1,"1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1"
"2","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0"
"3","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Female",1,"0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1"
"4","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Male",0,"1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0"
"5","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Female",0,"0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1"
"6","5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","Female","Male",0,"1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0"
"7","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Female",1,"0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"8","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Female",1,"0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1"
"9","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Male",1,"1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0"
"10","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Male",0,"1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1"
"11","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Male",0,"1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0"
"12","5f3bd8f8-5315-46d0-e981-86ec717165ec","Female","Female",0,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0"
"13","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Female",1,"0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0"
"14","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Female",1,"0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1"
"15","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Female",1,"0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1"
"16","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Male",0,"1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1"
"17","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Male",0,"1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0"
"18","5f3bd905-a5a2-ea16-bf99-0bf1671330b7","Female","Male",0,"1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"19","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Male",1,"1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0"
"20","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Female",1,"0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0"
"21","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Male",1,"1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1"
"22","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Male",0,"1","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0"
"23","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Female",0,"0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1"
"24","5f3bd906-b7a5-677d-7150-eb7be244191a","Female","Female",0,"0","1","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1"
"25","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Male",1,"1","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"26","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Female",1,"0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1"
"27","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Male",1,"1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0"
"28","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Female",0,"0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1"
"29","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Male",0,"1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0"
"30","5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","Male","Female",0,"0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0"
"31","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Male",1,"1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0"
"32","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Female",1,"0","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0"
"33","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Female",1,"0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0"
"34","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Female",0,"0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"35","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Male",0,"1","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1"
"36","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Male",0,"1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","1"
"37","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Male",1,"1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1"
"38","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",1,"0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1"
"39","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Male",1,"1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0"
"40","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",0,"0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"41","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",0,"0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1"
