"","RID","gender","age","religious_identity","caste","educ_level","employment_status","annual_household_income","marital_status","party_support","should_women_run","registered_to_vote","pol_engagement","vote_2019_national","vote_2020_delhi","country_direction","modi_approval","lib_cons_scale","most_imp_issue","support_wrb","village_res","state_res","national_res","no_res","village_res_treat","state_res_treat","national_res_treat","sc_st_res_treat","village_res_control","state_res_control","national_res_control","sc_st_res_control","news_verification","woman_false_1","woman_false_2","woman_false_3","male_false_1","male_false_2","male_false_3","male_false_4","male_true_1","male_true_2","female_true_1","female_true_2","female_true_3","Treatment","Control","response_id","caste_bin","edu","employed","household_inc","marriage","vote_2019","vote_2020","political_engagement","ideology_scale","religion","wrb"
"1","R_22CYlg88saY8yqL","1",18,"Hindu","Other backward classes (OBCs)","Higher secondary/Senior secondary","Student","₹0 - ₹2,50,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Gender discrimination","Yes","Village","","","","Yes","Yes","Yes","Yes","","","","","Yes",2,1,3,2,1,2,3,3,4,3,2,2,1,NA,"5f3bd906-b7a5-677d-7150-eb7be244191a","1","0","0",1,"0",1,1,1,4,"Hindu",1
"2","R_2akwyRqCRgWfEK7","1",21,"Hindu","Forward castes","Primary","Unemployed and looking for work","₹0 - ₹2,50,000","Never married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Gender discrimination","Yes","","State","","","Yes","Yes","Yes","Yes","","","","","Yes",3,3,3,3,3,3,3,3,4,4,3,3,1,NA,"5f3bd91d-c106-0d29-7985-dc64027aa665","0","0","0",1,"0",1,1,1,4,"Hindu",1
"3","R_30v35jpWM5rSr3o","0",21,"Hindu","Forward castes","Higher secondary/Senior secondary","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","","","","","No","Yes","Yes","Yes","Yes",3,3,3,4,3,3,2,3,2,2,3,3,NA,1,"5f3bd922-a654-1efe-c598-3bb82d08a01d","0","0","1",2,"0",1,1,1,7,"Hindu",1
"4","R_2ZOXHp90voXie2r","0",19,"Hindu","Forward castes","Primary","Interning","₹10,00,001 - ₹20,00,000","Widowed","Indian National Congress (INC)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Slightly conservative","Economic downturn","No","Village","State","","","No","No","Yes","No","","","","","No",2,3,2,3,2,2,4,3,1,4,4,2,1,NA,"5f3bd941-fe83-b6a8-d4d4-da53ee634787","0","0","1",4,"0",1,1,1,3,"Hindu",0
"5","R_2e54jOiQMq1PW2Q","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Gender discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,4,3,3,4,3,4,4,4,4,4,3,NA,1,"5f3bd9b0-74e4-d09d-1486-f02d5c046622","0","1","1",4,"0",1,1,1,6,"Hindu",1
"6","R_1C8QdDNNqhmLzmw","1",40,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","National","","Yes","No","Yes","Yes","","","","","Yes",4,2,4,4,3,3,3,2,4,1,4,4,1,NA,"5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","1","1","1",3,"1",1,1,1,7,"Hindu",1
"7","R_2xOVTYvdrJtyKe9","0",31,"Christian","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Conservative","Military tensions","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Maybe","Yes",2,2,3,3,3,1,4,3,1,1,3,4,NA,1,"5f3bd90d-be12-9a01-b4c0-ca1cdc21f885","0","1","1",4,"1",1,1,1,2,"Other",1
"8","R_RqtMKhvT4akGJ6p","1",30,"Hindu","Other backward classes (OBCs)","Middle","Self-employed/freelance","₹0 - ₹2,50,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","Yes","Yes","Yes","Yes","","","","","Yes",2,3,3,2,2,2,3,3,4,3,2,2,1,NA,"5f3bd8dd-f45b-8a38-ab7c-d12df8089bb6","1","0","1",1,"1",1,1,1,7,"Hindu",1
"9","R_1OqpuW6Z5ydt7Aw","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,NA,1,"5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","0","1","1",4,"1",1,1,1,7,"Hindu",1
"10","R_1cSrSvAkAu3PqBu","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","No",3,2,2,4,4,2,3,2,3,3,4,4,1,NA,"5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","0","1","1",3,"1",1,1,1,7,"Hindu",1
